曲名,舞萌ID,舞萌类型,舞萌分类,舞萌谱面,舞萌BPM,舞萌版本,舞萌追加日期,舞萌是否锁定,舞萌别名,中二No.,中二分类,中二创作者,中二谱面,中二BPM,中二版本,中二别名
LEMON MELON COOKIE,1809,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10+ | DX 11+ | DX 13,180,CiRCLE PLUS,2026-05-29,否,,1865,niconico,TAK,STD 3 | STD 6 | STD 10 | STD 12+,180,X-VERSE-X,
うたかたよいかないで,1806,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10 | DX 13,166,CiRCLE PLUS,2026-05-14,否,,1910,POPS & ANIME,HIMEHINA,STD 3 | STD 6 | STD 10 | STD 13,166,X-VERSE-X,
WWW,1805,DX,POPS＆アニメ,DX 2 | DX 6 | DX 10+ | DX 13,146,CiRCLE PLUS,2026-05-14,否,,1907,POPS & ANIME,HIMEHINA,STD 3 | STD 5 | STD 9 | STD 12+ | STD 14,146,X-VERSE-X,
キスキツネ,1804,DX,POPS＆アニメ,DX 2 | DX 6 | DX 10 | DX 13+,148,CiRCLE PLUS,2026-05-14,否,,1906,POPS & ANIME,HIMEHINA,STD 3 | STD 6 | STD 10 | STD 13+,148,X-VERSE-X,
RE Aoharu,1799,DX,ゲーム＆バラエティ,DX 3 | DX 7 | DX 10+ | DX 13+,180,CiRCLE PLUS,2026-05-01,否,,1729,VARIETY,Nor「ブルーアーカイブ -Blue Archive-」,STD 2 | STD 6 | STD 10 | STD 13,180,X-VERSE,
ZEUS,1794,DX,ゲーム＆バラエティ,DX 5 | DX 8 | DX 12+ | DX 14,180,CiRCLE PLUS,2026-04-03,否,,547,VARIETY,ルゼ,STD 4 | STD 7 | STD 11+ | STD 14+,170,AMAZON PLUS,宙斯
AiAe,1778,DX,ゲーム＆バラエティ,DX 5 | DX 8 | DX 12 | DX 14,180,CiRCLE PLUS,2026-03-19,否,,1826,VARIETY,DJ'TEKINA//SOMETHING a.k.a ゆよゆっぺ,STD 3 | STD 6 | STD 13 | STD 15,180,X-VERSE-X,
Colorful Starting Line,1770,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10 | DX 13,162,CiRCLE PLUS,2026-03-19,否,,1871,POPS & ANIME,涼宮ハルヒ(CV.平野綾),STD 3 | STD 5 | STD 9 | STD 13,162,X-VERSE-X,
Chasing destiny,1769,DX,POPS＆アニメ,DX 4 | DX 7+ | DX 10+ | DX 13+,186,CiRCLE PLUS,2026-03-19,否,,1870,POPS & ANIME,涼宮ハルヒ(CV.平野綾),STD 3 | STD 6 | STD 10+ | STD 14,186,X-VERSE-X,
無敵的ハピネス！(SOS団5人Ver.),1768,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10 | DX 13,185,CiRCLE PLUS,2026-03-19,否,,1869,POPS & ANIME,"涼宮ハルヒ(CV.平野綾),長門有希(CV.茅原実里),朝比奈みくる(CV.後藤邑子)、キョン(CV.杉田智和)、古泉一樹(CV.小野大輔)",STD 3 | STD 7 | STD 10+ | STD 13,185,X-VERSE-X,
BOW AND ARROW （アニメ・オープニングver.）,1767,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10 | DX 11+ | DX 13,180,CiRCLE PLUS,2026-03-19,否,,1815,POPS & ANIME,米津玄師,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,180,X-VERSE-X,
Galaxy Blaster,1766,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7+ | DX 11 | DX 14,208,CiRCLE PLUS,2026-03-19,是,,1728,ゲキマイ,ああああ,STD 5 | STD 8 | STD 12 | STD 14+,208,VERSE,
TECHNOPOLIS 2085,1765,DX,オンゲキ＆CHUNITHM,DX 4 | DX 6 | DX 10+ | DX 13+,134,CiRCLE PLUS,2026-03-19,是,,854,ORIGINAL,PRASTIK DANCEFLOOR,STD 2 | STD 7 | STD 12 | STD 14+,134,PARADISE LOST,雅迪|2085|啊🤪～啊🤪～啊咦😬啊咦😬啊→啊↑啊↓😨啊😰～嗯💥哎哎🤗哎哦哎嗯😋～哦哎🥳爱爱爱爱爱😍啊🤪～啊🤪～啊咦😬啊咦😬啊→啊↑啊↓😨啊😰～嗯💥嗯嗯👿滴嘚滴嘚😈唔😱嘟⬅️嘟↖️嘟⬆️嘟↗️嘟➡️嘟↘️嘟⬇️
WakeUP MakeUP FEVER!,1757,DX,オンゲキ＆CHUNITHM,DX 2 | DX 6 | DX 10 | DX 13,126,CiRCLE,2026-03-05,否,,1827,ゲキマイ,曲：アオワイファイ／歌：オンゲキシューターズ,STD 2 | STD 5 | STD 10 | STD 12+,126,X-VERSE-X,
Paranoia,1744,DX/STD,東方Project,DX 4 | DX 7 | DX 9 | DX 13 ; STD 3 | STD 7 | STD 10 | STD 13+,150,CiRCLE,2020-09-17,否,paranoia|镶金灵梦|妄想症|金色灵梦,459,東方Project,DiGiTAL WiNG feat. 花たん,STD 3 | STD 5 | STD 9+ | STD 12+,150,AMAZON,
うい麦畑でつかまえて,1738,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10+ | DX 13,168,CiRCLE,2026-01-09,否,,1764,POPS & ANIME,しぐれうい,STD 3 | STD 5 | STD 9+ | STD 13+,168,X-VERSE,
化けの花,1737,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 11 | DX 13,180,CiRCLE,2026-01-09,否,,1821,niconico,なきそ,STD 3 | STD 6 | STD 10+ | STD 13+ | STD 14+,180,X-VERSE-X,
ラストピースに祝福と栄光を,1724,DX,オンゲキ＆CHUNITHM,DX 7 | DX 9 | DX 12+ | DX 14+,280,CiRCLE,2025-12-05,否,,1491,ORIGINAL,cosMo＠暴走P,STD 5 | STD 10 | STD 14 | STD 15+,280,LUMINOUS,祝福荣光|祝福|荣光|希望泪2|红豆泥私密马赛
最愛人生ランナー,1722,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 11 | DX 13+,180,CiRCLE,2025-11-20,否,,1796,niconico,かいりきベア,STD 3 | STD 6 | STD 10 | STD 13+,180,X-VERSE,
トレジャーガーデン,1721,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 11+ | DX 13+,268,CiRCLE,2025-11-20,否,,1799,niconico,Ponchi♪ feat.初音ミク,STD 3 | STD 6 | STD 10+ | STD 14,268,X-VERSE,
ジェットブラック,1720,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 10 | DX 13,170,CiRCLE,2025-11-20,否,,1798,niconico,雄之助,STD 3 | STD 5 | STD 10 | STD 13,170,X-VERSE,
ウィーアーピコピコハンマーズ!!!!,1719,DX,niconico＆ボーカロイド,DX 5 | DX 8 | DX 10+ | DX 13+,202,CiRCLE,2025-11-20,否,,1797,niconico,cosMo＠暴走P,STD 3 | STD 7 | STD 11+ | STD 14,202,X-VERSE,
電光刹歌,1718,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 11+ | DX 13+,207,CiRCLE,2025-11-20,否,,1800,niconico,かめりあ,STD 3 | STD 6 | STD 11+ | STD 14,207,X-VERSE,
ヒアソビ,1713,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 13+,134,CiRCLE,2025-10-30,否,,1520,niconico,かめりあ,STD 2 | STD 6 | STD 10+ | STD 13+,134,LUMINOUS,
Worlders,1709,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 12+,137,CiRCLE,2025-10-16,否,,1789,niconico,じん / バーチャル・シンガー、Leo/need、MORE MORE JUMP！、Vivid BAD SQUAD、ワンダーランズ×ショウタイム、25時、ナイトコードで。「劇場版プロジェクトセカイ　壊れたセカイと歌えないミク」,STD 2 | STD 5 | STD 9 | STD 12+,138,X-VERSE,
はじまりの未来,1708,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10 | DX 13,156,CiRCLE,2025-10-16,否,,1788,niconico,40mP × sasakure.UK / 初音ミク「劇場版プロジェクトセカイ　壊れたセカイと歌えないミク」,STD 2 | STD 5 | STD 9 | STD 12+,156,X-VERSE,
ニルヴの心臓,1692,DX,ゲーム＆バラエティ,DX 6 | DX 8 | DX 12+ | DX 14,256,CiRCLE,2025-09-18,否,,1739,VARIETY,TJ.hangneil + Atomic Sphere feat.Annabel,STD 4 | STD 7 | STD 13 | STD 15,256,X-VERSE,
有頂天ドリーマーズ,1690,DX,東方Project,DX 4 | DX 7 | DX 10+ | DX 13,188,CiRCLE,,否,,1625,東方Project,森羅万象,STD 3 | STD 6 | STD 9 | STD 12+,188,VERSE,
テトリス,1689,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 10+ | DX 12 | DX 13+,170,CiRCLE,2025-09-18,否,,1736,niconico,柊マグネタイト,STD 3 | STD 5 | STD 10 | STD 14,170,X-VERSE,
モニタリング,1688,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10+ | DX 11+ | DX 13,132,CiRCLE,,否,,1820,niconico,DECO*27,STD 3 | STD 5 | STD 10 | STD 13,132,X-VERSE-X,
彩りキャンバス,1682,DX,ゲーム＆バラエティ,DX 3 | DX 6 | DX 10 | DX 13,180,CiRCLE,2025-09-18,否,,1731,VARIETY,SUGAR RUSH「ブルーアーカイブ -Blue Archive-」,STD 3 | STD 5 | STD 9+ | STD 13+,180,X-VERSE,
Unwelcome School,1681,DX,ゲーム＆バラエティ,DX 4 | DX 7 | DX 10+ | DX 12 | DX 14,180,CiRCLE,2025-09-18,否,,1730,VARIETY,Mitsukiyo「ブルーアーカイブ -Blue Archive-」,STD 3 | STD 6 | STD 10+ | STD 13+ | STD 15,180,X-VERSE,
イーヴィルガール,1679,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 11 | DX 13+,180,CiRCLE,2025-09-18,否,,1547,ORIGINAL,Fushi feat.吉乃,STD 3 | STD 7 | STD 11 | STD 14,180,LUMINOUS PLUS,
帝国少女,1671,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9 | DX 13,118,PRiSM PLUS,2025-08-22,否,,1001,niconico,R Sound Design ,STD 2 | STD 4 | STD 9 | STD 12,118,CHUNITHM NEW,
少女A,1670,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 13,130,PRiSM PLUS,2025-08-22,否,,1757,niconico,椎名もた,STD 2 | STD 6 | STD 10 | STD 14,260,X-VERSE,
少女レイ,1669,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 12+,150,PRiSM PLUS,2025-08-22,否,,1316,niconico,みきとP,STD 3 | STD 5 | STD 9 | STD 12,150,SUN,少女灵
Tidal Wave,1659,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 12 | DX 13+,175,PRiSM PLUS,2025-07-16,否,,177,ORIGINAL,D-Cee,STD 4 | STD 7+ | STD 10+ | STD 14,175,AIR,
Drivessover,1658,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 12 | DX 13+,182,PRiSM PLUS,2025-07-16,否,,431,ORIGINAL,Taishi,STD 3 | STD 7 | STD 11 | STD 13+,182,STAR PLUS,
crazy (about you),1657,DX,オンゲキ＆CHUNITHM,DX 3 | DX 7 | DX 10+ | DX 13+,145,PRiSM PLUS,2025-07-16,否,,1515,ORIGINAL,kamome sano,STD 3 | STD 5 | STD 11+ | STD 14,145,LUMINOUS,
サウンドプレイヤー,1651,DX,オンゲキ＆CHUNITHM,DX 3 | DX 7 | DX 10 | DX 13+,143,PRiSM PLUS,2025-07-11,否,,145,ORIGINAL,tilt-six feat.バル,STD 3 | STD 5 | STD 9 | STD 13,143,AIR,
Lover's Trick,1647,DX,オンゲキ＆CHUNITHM,DX 3 | DX 7 | DX 10+ | DX 13+,130,PRiSM PLUS,2025-07-04,否,,602,ORIGINAL,litmus*,STD 2 | STD 5 | STD 8 | STD 13,130,CRYSTAL,
㋰責任集合体,1645,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 13,135,PRiSM PLUS,2025-06-27,否,,1843,niconico,マサラダ,STD 2 | STD 5 | STD 9+ | STD 13,135,X-VERSE-X,
JIGOKU STATION CENTRAL GATE,1644,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 11 | DX 14,160,PRiSM PLUS,2025-06-27,否,,304,ORIGINAL,鬱P feat.000,STD 4 | STD 7+ | STD 12 | STD 14 | STD 14+,160,STAR,
BlackFlagBreaker!!,1643,DX,POPS＆アニメ,DX 4 | DX 8 | DX 11 | DX 13+,163,PRiSM PLUS,2025-06-20,否,,1143,POPS & ANIME,社築 × sasakure.UK,STD 3 | STD 7+ | STD 10+ | STD 14,163,CHUNITHM NEW PLUS,社筑
なんかノイズにきこえる,1639,DX,オンゲキ＆CHUNITHM,DX 3 | DX 7 | DX 9+ | DX 13+,158,PRiSM PLUS,2025-06-20,否,,811,イロドリミドリ,HaNaMiNa feat.Hana,STD 3 | STD 6 | STD 8+ | STD 13,158,PARADISE LOST,
クーネル・エンゲイザー,1634,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 12+,170,PRiSM PLUS,2025-06-06,否,,1002,niconico,電ǂ鯨,STD 3 | STD 5 | STD 10 | STD 13,170,CHUNITHM NEW,进食睡眠凝视者
Destined Marionette,1631,DX,ゲーム＆バラエティ,DX 4 | DX 8 | DX 12 | DX 14,186,PRiSM PLUS,2025-05-21,否,,1713,VARIETY,ビートまりお,STD 3 | STD 6 | STD 12+ | STD 14+,186,VERSE,
超最終鬼畜妹フランドール・S,1630,DX,東方Project,DX 5 | DX 8 | DX 12+ | DX 13+,210,PRiSM PLUS,2025-05-21,否,,1711,東方Project,ビートまりお×まろん,STD 4 | STD 7+ | STD 12 | STD 15,210,VERSE,超最终鬼畜妹
"Help me, ERINNNNNN!!",1629,DX,東方Project,DX 4 | DX 7+ | DX 10+ | DX 13,185,PRiSM PLUS,2025-05-21,否,"help me, erinnnnnn!!|erin|救我|帮我|帮帮我永琳姐|救救我",1712,東方Project,ビートまりお,STD 3 | STD 6 | STD 10+ | STD 14,185,VERSE,
好きな惣菜発表ドラゴン,1621,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9 | DX 12,160,PRiSM PLUS,2025-05-09,否,,1624,niconico,ンバヂ,STD 3 | STD 5 | STD 7+ | STD 13+,160,VERSE,
ハオ,1617,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 13,176,PRiSM PLUS,2025-04-24,否,,1699,niconico,DECO*27,STD 3 | STD 6 | STD 9 | STD 12+,176,VERSE,
あいたい星人,1616,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9+ | DX 13,150,PRiSM PLUS,2025-04-24,否,,1698,niconico,DECO*27,STD 3 | STD 5 | STD 9+ | STD 13,150,VERSE,
DATAERR0R,1615,DX,ゲーム＆バラエティ,DX 5 | DX 8 | DX 11+ | DX 14,180,PRiSM PLUS,2025-04-11,否,,223,VARIETY,Lunatic Sounds,STD 3 | STD 7 | STD 10 | STD 14 | STD 15,180,AIR,dataerror|你没保存数据
M@GICAL☆CURE! LOVE ♥ SHOT!,1613,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 11 | DX 13+,192,PRiSM PLUS,2025-04-11,否,,1864,niconico,SAWTOWNE,STD 3 | STD 6 | STD 10 | STD 13,192,X-VERSE-X,
モエチャッカファイア,1608,DX,POPS＆アニメ,DX 3 | DX 6 | DX 10 | DX 13+,163,PRiSM PLUS,2025-03-28,否,モエチャッカファイア|绝区零|萌萌点火|鲨鱼娘,1733,POPS & ANIME,弌誠「ゲーム『ゼンレスゾーンゼロ』エレン・ジョー 同人イメージソング」,STD 3 | STD 6 | STD 10 | STD 12+ | STD 14,163,X-VERSE,
Synthesis.,1600,DX,ゲーム＆バラエティ,DX 5 | DX 8+ | DX 12+ | DX 14,180,PRiSM PLUS,2025-03-13,否,synthesis.,1627,VARIETY,tn-shi,STD 3 | STD 8 | STD 12 | STD 15,180,VERSE,综合
Idoratrize World,1599,DX,東方Project,DX 3 | DX 6 | DX 10 | DX 13,170,PRiSM PLUS,2025-03-13,否,idoratrize world,1785,東方Project,A-One,STD 3 | STD 6 | STD 10 | STD 14,170,X-VERSE,
ももいろの鍵,1597,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9 | DX 12+,165,PRiSM PLUS,2025-03-13,否,ももいろの鍵|桃键|桃色钥匙,1671,niconico,いよわ,STD 3 | STD 5 | STD 10 | STD 13+,165,VERSE,桃色
メズマライザー,1596,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 11+ | DX 13+,185,PRiSM PLUS,2025-03-13,否,メズマライザー|催眠术,1622,niconico,サツキ feat.初音ミク・重音テト,STD 3 | STD 6 | STD 10+ | STD 13 | STD 14+,185,VERSE,催眠术
ビビデバ,1594,DX,POPS＆アニメ,DX 2 | DX 6 | DX 9+ | DX 11+ | DX 13,120,PRiSM PLUS,2025-03-13,否,ビビデバ|bibbideba,1619,POPS & ANIME,星街すいせい（ホロライブ）,STD 3 | STD 5 | STD 10+ | STD 12+ | STD 14,120,VERSE,
