No.,乐曲类型,曲名,类型,难易度,等级,谱面定数,BPM,版本,追加日期,是否锁定,别名
1797,DX,ANiMA,DX,MASTER,14+,14.7,183,CiRCLE+,2026-04-17,是,
1791,DX,Break The Speakers,DX,MASTER,14+,14.7,185,CiRCLE+,2026-04-03,是,
1756,DX,7 Wonders,DX,MASTER,14+,14.9,168,CiRCLE (丸),2026-03-05,否,
1751,DX,Sky Trails,DX,MASTER,14+,14.7,171,CiRCLE (丸),2026-02-06,是,
1747,DX,零號車輛,DX,MASTER,14+,14.6,240,CiRCLE (丸),2026-01-23,否,零號車輛|零号车辆|灵车|零车|零号列车|大运|小灵车|托马斯小灵车|灵车漂移|0车
1724,DX,ラストピースに祝福と栄光を,DX,MASTER,14+,14.6,280,CiRCLE (丸),2025-12-05,否,
1717,DX,Get U ♭ack,DX,MASTER,14+,14.6,205,CiRCLE (丸),2025-11-07,是,
1712,DX,"False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or Buried Beneath the Shifting Sands That Lead Everywhere but Nowhere)",DX,MASTER,14+,14.8,132,CiRCLE (丸),2025-10-30,否,
1707,DX,Customized Justice,DX,MASTER,14+,14.8,292,CiRCLE (丸),2025-10-16,否,
1655,DX,Xaleid◆scopiX,DX,MASTER,14+,14.9,180,PRiSM+ (彩),2025-07-13,否,
1652,DX,World's end BLACKBOX,DX,MASTER,14+,14.9,205,PRiSM+ (彩),2025-07-11,否,
1628,DX,FLΛME/FRΦST,DX,MASTER,14+,14.8,174,PRiSM+ (彩),2025-05-09,否,
1612,DX,ATLAS RUSH,DX,MASTER,14+,14.7,156,PRiSM+ (彩),2025-04-11,否,atlas rush|rice
1606,DX,Åntinomiε,DX,MASTER,14+,14.6,242,PRiSM+ (彩),2025-03-13,否,åntinomiε|太空熊2|antinomie|二律背反
1583,DX,宙天,DX,MASTER,14+,14.9,125,PRiSM (鏡),2025-02-27,否,宙天|肘天|逆天|黑门|kop6决赛曲|宙活
1582,DX,雨露霜雪,DX,MASTER,14+,14.6,250,PRiSM (鏡),2025-02-27,否,雨露霜雪|四个雨|雨雨雨雨|雨×(1+路+相+彐)|四个季节
1538,DX,Divide et impera!,DX,MASTER,14+,14.8,166,PRiSM (鏡),2024-10-31,否,divide et impera!|猫娘打架|击剑2|黑人打架2|分而治之|猫娘打架2|kop决胜bgm|打架2|纱露朵大战米露库|迷迭香大战推进之王
1537,DX,氷滅の135小節,DX,MASTER,14+,14.8,205,PRiSM (鏡),2024-10-25,否,氷滅の135小節|冰灭|冰灭135|冰灭的135小节|135小节|白门|冰与火之舞|魔丸vs灵珠
1530,DX,Cryptarithm,DX,MASTER,14+,14.6,175,PRiSM (鏡),2024-10-11,否,cryptarithm|密码学|削除鬼叫2|加密算法|削除不鬼叫|密码算数
1497,DX,ℝ∈Χ LUNATiCA,DX,MASTER,14+,14.8,230,BUDDiES+ (宴),2024-08-02,否,ℝ∈χ lunatica|rex|黑天鹅2|r属于x|lunatica|rexlunatica|路西法|实数属于x
1476,DX,Re:Unknown X,DX,MASTER,14+,14.7,190,BUDDiES+ (宴),2024-06-07,否,re:unknown x|rux|东方ed|东方et|rex|et2|未知x|油库里|endtime2|东方那个14+
1455,DX,IF:U,DX,MASTER,14+,14.6,190,BUDDiES+ (宴),2024-04-12,否,if:u|ifu|如果你|如果：电压|如果:电压|如果:并集|如果:铀|妈宝蓝2|欧美定律|如果电压|骰子|衣服油
1430,DX,Λzure Vixen,DX,MASTER,14+,14.6,163,BUDDiES+ (宴),2024-03-21,否,λzure vixen|av|凯南|猩红凝视|我独自升级|维导|蓝的狐|azure vixen|有格调
1420,DX,系ぎて,DX,MASTER,14+,14.7,88,BUDDiES (双),2024-02-29,否,系ぎて|原神2|kop5|携手前进|白丝|つなぎて|大系|携手|牵绊|6a|新手教程2|aaaaaa|携手向前|系|连结|丝|kop5th决胜曲|tsunagite|白系|寻迹|丝之歌|系接头|n⭐cream|玉玉症好了|6a级景区|两个舞神六个尖|两舞神直播越级|打不到90会被赶出去|手牵手|两舞神六个a|俩个舞神六个a|两舞神越级|挂俩越级的：|我的未来不是梦|次那gi忒|我治好了玉玉症|我没玉玉症|新手叫疼|15级吃分推荐榜2|俩舞神越级|kop5决赛曲
1412,DX/STD,渦状銀河のシンフォニエッタ,DX,MASTER,14+,14.6,238,でらっくす+ (華),2020-08-07,否,渦状銀河のシンフォニエッタ|标抽水马桶|标银河|标马桶|标涡状银河|涡状银河交响曲|涡状马桶|涡状银河|抽水马桶|银河|涡状台风|冲水马桶|马桶|🚽|涡状伊岛|涡状银河的小交响曲|漩涡马桶
1411,DX,Straight into the lights,DX,MASTER,14+,14.8,90,BUDDiES (双),2024-02-02,否,straight into the lights|小东雪莲|ow2|acid|直入光|长驱直入光|中出光|我要当对立|吃麦当劳|小acid|我的麦当劳|线性代数|小阿希德
1387,DX,raputa,DX,MASTER,14+,14.9,339,BUDDiES (双),2023-12-09,否,raputa|𐎼𐎠𐎱𐎹𐎢𐎫𐎠|rpt|🍇|🥵🍇|西直门桥|中国结|拉普大|热葡萄|🐥🐥🐥|啊|拉谱大|拉普塔|这首歌只有一个字 啊|立交桥
1386,DX,Apollo,DX,MASTER,14+,14.7,339,BUDDiES (双),2023-12-09,否,apollo|绝密航天|吴奇隆|阿波罗|🍍|刹那转头|☬|独行月球|kana|皇城刹那裙底发光|我去是吴奇隆|登月|我去，是吴奇隆！|航天基地|我趣！事吴奇隆！|小人上月球
1383,DX,神威,DX,MASTER,14+,14.6,210,BUDDiES (双),2023-12-09,否,神威|太湖之光|kamui
1374,DX,KHYMΞXΛ,DX,MASTER,14+,14.7,220,BUDDiES (双),2023-11-02,否,khymξxλ|kop5预选|khym|奇美拉2|khymexa|khym三xa|奇美拉|大奇美拉|khy
1366,DX,Latent Kingdom,DX,MASTER,14+,14.9,201,BUDDiES (双),2023-10-06,否,latent kingdom|曲师打架|lk|俩曲师打架|三十块|潜伏王国|大lk|三十块钱|老二大战大国奏音|老二vs大国奏音|东北商战|白魔爪vs黑魔爪|我售卖东北玉米|别样的小提琴大赛|两个男人拉小提琴|东北菜市场|我售卖东北竹笋|奏音快跑
1337,DX,LAMIA,DX,MASTER,14+,14.7,199,FESTiVAL+ (祝),2023-09-01,否,lamia|战斗服宵崎奏|刹那|刹那拉面|拉米亚|拉弥亚|拉面
1329,DX,超熊猫的周遊記（ワンダーパンダートラベラー）,DX,MASTER,14+,14.6,121,FESTiVAL+ (祝),2023-08-04,否,超熊猫的周遊記（ワンダーパンダートラベラー）|周游记|超雄猫|超熊猫的周游记|超熊猫|四川禁曲|超能猫|超雄|我们是幻想麒麟
1319,DX,VERTeX (rintaro soma deconstructed remix),DX,MASTER,14+,14.6,158,FESTiVAL+ (祝),2023-07-07,否,vertex (rintaro soma deconstructed remix)|水神1.5|本草纲目1.5|摩羯|水神remix|水神9|激流
1288,DX,VeRForTe αRtE:VEiN,DX,MASTER,14+,14.8,190,FESTiVAL+ (祝),2023-03-23,否,verforte αrte:vein|verforte|大钟楼|钟楼|vft|大钟|十块钱|钟塔|钟楼100.7很吊吗|100.7|100.7什么垃圾|飞能不鸟|哈利路大旋风|翠翠扫|翠翠猫抓板
1263,DX,ViRTUS,DX,MASTER,14+,14.6,225,FESTiVAL (祭),2023-03-02,否,virtus|2024春晚|op|本草纲目|kop4|噔噔噔噔噔噔|水神2|水神二|芙宁娜|一半敖丙一半哪吒|台风|紫菜蛋花汤|kop4日服决赛曲|kop4决赛曲
1255,DX,康莊大道,DX,MASTER,14+,14.7,208,FESTiVAL (祭),2023-02-03,否,康莊大道|浇给|康庄|康庄大道|九洲大道|成华大道|星光大道|康|黑羊羊|羊角|羊|太太乐
1234,DX/STD,VIIIbit Explorer,DX,MASTER,14+,14.7,188,Splash+ (煌),2021-07-21,否,viiibit explorer|标准浏览器|标准8bit|标准八比特|8bit|8比特|标巴比特|八位探索者|八比特|标8bit|5*8-30/2+3bit|8bit浏览器|八比特管理器|8比特浏览器|巴比特|八比特浏览器|海葵姐|浏览器|大手子|dx八比特|dx8bit
1215,DX,mystique as iris,DX,MASTER,14+,14.6,172,FESTiVAL (祭),2022-09-15,否,mystique as iris|像鸢尾花一样神秘|mai|iris|神秘如鸢尾花|虹膜|鸢尾花|坐椅子|siri|如密鸢尾花|如虹膜般神秘|出云子
1189,DX,World's end loneliness,DX,MASTER,14+,14.9,205,UNiVERSE+ (星),2022-08-05,否,world's end loneliness|wel|寡|孤独终老|世终|世末孤独|世孤|世翠孤独|林尼|世终孤独|寡王|奥尔菲斯|世終孤独|世末孤终|世终1
1187,DX,Metamorphosism,DX,MASTER,14+,14.7,144,UNiVERSE+ (星),2022-08-05,否,metamorphosism|削除鬼叫|变态主义|消除鬼叫|硅胶|变态|meta|变质|质变|变形|哇袄|削除硅胶|我奶做梦
