id,title,aliases,bpm,artist,level
1809,LEMON MELON COOKIE,,180,TAK,DX 3 | DX 7 | DX 10+ | DX 11+ | DX 13
1806,うたかたよいかないで,,166,HIMEHINA,DX 3 | DX 7 | DX 10 | DX 13
1805,WWW,,146,HIMEHINA,DX 2 | DX 6 | DX 10+ | DX 13
1804,キスキツネ,,148,HIMEHINA,DX 2 | DX 6 | DX 10 | DX 13+
1799,RE Aoharu,,180,Nor「ブルーアーカイブ -Blue Archive-」,DX 3 | DX 7 | DX 10+ | DX 13+
1794,ZEUS,宙斯,180,ルゼ,DX 5 | DX 8 | DX 12+ | DX 14
1778,AiAe,,180,DJ'TEKINA//SOMETHING a.k.a ゆよゆっぺ,DX 5 | DX 8 | DX 12 | DX 14
1770,Colorful Starting Line,,162,涼宮ハルヒ(CV.平野綾),DX 3 | DX 7 | DX 10 | DX 13
1769,Chasing destiny,,186,涼宮ハルヒ(CV.平野綾),DX 4 | DX 7+ | DX 10+ | DX 13+
1768,無敵的ハピネス！(SOS団5人Ver.),,185,"涼宮ハルヒ(CV.平野綾),長門有希(CV.茅原実里),朝比奈みくる(CV.後藤邑子)、キョン(CV.杉田智和)、古泉一樹(CV.小野大輔)",DX 3 | DX 7 | DX 10 | DX 13
1767,BOW AND ARROW （アニメ・オープニングver.）,,180,米津玄師,DX 3 | DX 7 | DX 10 | DX 11+ | DX 13
1766,Galaxy Blaster,,208,ああああ,DX 5 | DX 7+ | DX 11 | DX 14
1765,TECHNOPOLIS 2085,雅迪|2085|啊🤪～啊🤪～啊咦😬啊咦😬啊→啊↑啊↓😨啊😰～嗯💥哎哎🤗哎哦哎嗯😋～哦哎🥳爱爱爱爱爱😍啊🤪～啊🤪～啊咦😬啊咦😬啊→啊↑啊↓😨啊😰～嗯💥嗯嗯👿滴嘚滴嘚😈唔😱嘟⬅️嘟↖️嘟⬆️嘟↗️嘟➡️嘟↘️嘟⬇️,134,PRASTIK DANCEFLOOR,DX 4 | DX 6 | DX 10+ | DX 13+
1757,WakeUP MakeUP FEVER!,,126,曲：アオワイファイ／歌：オンゲキシューターズ,DX 2 | DX 6 | DX 10 | DX 13
1744,Paranoia,paranoia|镶金灵梦|妄想症|金色灵梦,150,DiGiTAL WiNG feat. 花たん,DX 4 | DX 7 | DX 9 | DX 13 ; STD 3 | STD 7 | STD 10 | STD 13+
1738,うい麦畑でつかまえて,,168,しぐれうい,DX 3 | DX 7 | DX 10+ | DX 13
1737,化けの花,,180,なきそ,DX 4 | DX 7 | DX 11 | DX 13
1724,ラストピースに祝福と栄光を,祝福荣光|祝福|荣光|希望泪2|红豆泥私密马赛,280,cosMo＠暴走P,DX 7 | DX 9 | DX 12+ | DX 14+
1722,最愛人生ランナー,,180,かいりきベア,DX 4 | DX 7+ | DX 11 | DX 13+
1721,トレジャーガーデン,,268,Ponchi♪ feat.初音ミク,DX 4 | DX 7+ | DX 11+ | DX 13+
1720,ジェットブラック,,170,雄之助,DX 4 | DX 7 | DX 10 | DX 13
1719,ウィーアーピコピコハンマーズ!!!!,,202,cosMo＠暴走P,DX 5 | DX 8 | DX 10+ | DX 13+
1718,電光刹歌,,207,かめりあ,DX 4 | DX 7+ | DX 11+ | DX 13+
1713,ヒアソビ,,134,かめりあ,DX 3 | DX 7 | DX 10 | DX 13+
1709,Worlders,,137,じん / バーチャル・シンガー、Leo/need、MORE MORE JUMP！、Vivid BAD SQUAD、ワンダーランズ×ショウタイム、25時、ナイトコードで。「劇場版プロジェクトセカイ　壊れたセカイと歌えないミク」,DX 2 | DX 6 | DX 9+ | DX 12+
1708,はじまりの未来,,156,40mP × sasakure.UK / 初音ミク「劇場版プロジェクトセカイ　壊れたセカイと歌えないミク」,DX 3 | DX 6 | DX 10 | DX 13
1692,ニルヴの心臓,,256,TJ.hangneil + Atomic Sphere feat.Annabel,DX 6 | DX 8 | DX 12+ | DX 14
1690,有頂天ドリーマーズ,,188,森羅万象,DX 4 | DX 7 | DX 10+ | DX 13
1689,テトリス,,170,柊マグネタイト,DX 4 | DX 7 | DX 10+ | DX 12 | DX 13+
1688,モニタリング,,132,DECO*27,DX 3 | DX 6 | DX 10+ | DX 11+ | DX 13
1682,彩りキャンバス,,180,SUGAR RUSH「ブルーアーカイブ -Blue Archive-」,DX 3 | DX 6 | DX 10 | DX 13
1681,Unwelcome School,,180,Mitsukiyo「ブルーアーカイブ -Blue Archive-」,DX 4 | DX 7 | DX 10+ | DX 12 | DX 14
1679,イーヴィルガール,,180,Fushi feat.吉乃,DX 4 | DX 7+ | DX 11 | DX 13+
1671,帝国少女,,118,R Sound Design ,DX 2 | DX 6 | DX 9 | DX 13
1670,少女A,,130,椎名もた,DX 2 | DX 6 | DX 9+ | DX 13
1669,少女レイ,少女灵,150,みきとP,DX 2 | DX 6 | DX 9+ | DX 12+
1659,Tidal Wave,,175,D-Cee,DX 4 | DX 7+ | DX 12 | DX 13+
1658,Drivessover,,182,Taishi,DX 4 | DX 7+ | DX 12 | DX 13+
1657,crazy (about you),,145,kamome sano,DX 3 | DX 7 | DX 10+ | DX 13+
1651,サウンドプレイヤー,,143,tilt-six feat.バル,DX 3 | DX 7 | DX 10 | DX 13+
1647,Lover's Trick,,130,litmus*,DX 3 | DX 7 | DX 10+ | DX 13+
1645,㋰責任集合体,,135,マサラダ,DX 3 | DX 7 | DX 9+ | DX 13
1644,JIGOKU STATION CENTRAL GATE,,160,鬱P feat.000,DX 4 | DX 7+ | DX 11 | DX 14
1643,BlackFlagBreaker!!,社筑,163,社築 × sasakure.UK,DX 4 | DX 8 | DX 11 | DX 13+
1639,なんかノイズにきこえる,,158,HaNaMiNa feat.Hana,DX 3 | DX 7 | DX 9+ | DX 13+
1634,クーネル・エンゲイザー,进食睡眠凝视者,170,電ǂ鯨,DX 3 | DX 7 | DX 9+ | DX 12+
1631,Destined Marionette,,186,ビートまりお,DX 4 | DX 8 | DX 12 | DX 14
1630,超最終鬼畜妹フランドール・S,超最终鬼畜妹,210,ビートまりお×まろん,DX 5 | DX 8 | DX 12+ | DX 13+
1629,"Help me, ERINNNNNN!!","help me, erinnnnnn!!|erin|救我|帮我|帮帮我永琳姐|救救我",185,ビートまりお,DX 4 | DX 7+ | DX 10+ | DX 13
1621,好きな惣菜発表ドラゴン,,160,ンバヂ,DX 3 | DX 6 | DX 9 | DX 12
1617,ハオ,,176,DECO*27,DX 3 | DX 7 | DX 9+ | DX 13
1616,あいたい星人,,150,DECO*27,DX 3 | DX 6 | DX 9+ | DX 13
1615,DATAERR0R,dataerror|你没保存数据,180,Lunatic Sounds,DX 5 | DX 8 | DX 11+ | DX 14
1613,M@GICAL☆CURE! LOVE ♥ SHOT!,,192,SAWTOWNE,DX 4 | DX 7+ | DX 11 | DX 13+
1608,モエチャッカファイア,モエチャッカファイア|绝区零|萌萌点火|鲨鱼娘,163,弌誠「ゲーム『ゼンレスゾーンゼロ』エレン・ジョー 同人イメージソング」,DX 3 | DX 6 | DX 10 | DX 13+
1600,Synthesis.,synthesis.|综合,180,tn-shi,DX 5 | DX 8+ | DX 12+ | DX 14
1599,Idoratrize World,idoratrize world,170,A-One,DX 3 | DX 6 | DX 10 | DX 13
1597,ももいろの鍵,ももいろの鍵|桃键|桃色钥匙|桃色,165,いよわ,DX 2 | DX 6 | DX 9 | DX 12+
1596,メズマライザー,メズマライザー|催眠术,185,サツキ feat.初音ミク・重音テト,DX 3 | DX 7 | DX 10 | DX 11+ | DX 13+
1594,ビビデバ,ビビデバ|bibbideba,120,星街すいせい（ホロライブ）,DX 2 | DX 6 | DX 9+ | DX 11+ | DX 13
1593,はいよろこんで,はいよろこんで|乐意效劳,147,こっちのけんと,DX 3 | DX 6 | DX 9+ | DX 11+ | DX 13
1592,月光,月光,195,歌：V.I.P 作詞：廉　作曲：廉 「神椿市協奏中。」,DX 4 | DX 8 | DX 11 | DX 13+
1591,ゆりかご,ゆりかご,120,歌：可不 作詞：MIMI　作曲：MIMI 「神椿市協奏中。」,DX 2 | DX 6 | DX 9 | DX 13
1590,きゅびびびびずむ,きゅびびびびずむ|cubibibibism|立体体体体主义,185,超てんちゃん,DX 5 | DX 8 | DX 12 | DX 13+
1589,きゅびずむ,きゅびずむ|cubism|立体主义,185,超てんちゃん,DX 3 | DX 7 | DX 10 | DX 12+
