No.,分类,曲名,创作者,谱面,BPM,版本,别名
1915,VARIETY,Imprinting,Sakuzyo,STD 3 | STD 8 | STD 12+ | STD 14,175,X-VERSE-X,
1914,VARIETY,Reverie ft. xia,Gardens,STD 3 | STD 7+ | STD 11+ | STD 14+,172,X-VERSE-X,
1913,VARIETY,Amatsu,Juggernaut.,STD 3 | STD 7+ | STD 11 | STD 14+,150,X-VERSE-X,
1912,VARIETY,All Over Again,Zekk,STD 3 | STD 7+ | STD 12 | STD 14+,210,X-VERSE-X,
1911,VARIETY,BANG!,Shoichiro Hirata feat.Sana,STD 2 | STD 5 | STD 10 | STD 13,128,X-VERSE-X,
1910,POPS & ANIME,うたかたよいかないで,HIMEHINA,STD 3 | STD 6 | STD 10 | STD 13,166,X-VERSE-X,
1909,niconico,愛して愛して愛して,きくお,STD 2 | STD 6 | STD 10+ | STD 14+,230,X-VERSE-X,
1908,niconico,花弁、それにまつわる音声,あばらや,STD 3 | STD 6 | STD 10 | STD 13+,108,X-VERSE-X,
1907,POPS & ANIME,WWW,HIMEHINA,STD 3 | STD 5 | STD 9 | STD 12+ | STD 14,146,X-VERSE-X,
1906,POPS & ANIME,キスキツネ,HIMEHINA,STD 3 | STD 6 | STD 10 | STD 13+,148,X-VERSE-X,
1905,VARIETY,ALTER EGO,Yuta Imai vs Qlarabelle「Arcaea」,STD 4 | STD 8 | STD 13+ | STD 15,195,X-VERSE-X,
1904,VARIETY,Ré：Ré,モリモリあつし vs. uma「Muse Dash」,STD 4 | STD 8+ | STD 13+ | STD 15,222,X-VERSE-X,
1903,VARIETY,"DESTRUCTION 3,2,1",Normal1zer vs. Broken Nerdz「Phigros」,STD 5 | STD 11+ | STD 14 | STD 15,321,X-VERSE-X,
1902,VARIETY,glory MAX -to the MAXimum-,TAK,STD 3 | STD 7+ | STD 11+ | STD 14+,190,X-VERSE-X,
1901,VARIETY,Marigold,"M2U / Arranger: M2U, NICODE / Vocal: Guriri, M2U 「DEEMO」",STD 3 | STD 7 | STD 13+ | STD 15,160,X-VERSE-X,
1900,VARIETY,Lips XTC -Sorist Remix-,from PACA PACA PASSION Special,STD 3 | STD 7 | STD 13+ | STD 15,144,X-VERSE-X,
1899,VARIETY,超MANJIラッシュ,Massive New Krew「WACCA」,STD 4 | STD 8+ | STD 13 | STD 14+,205,X-VERSE-X,
1898,VARIETY,聖者の息吹,世阿弥 vs Tatsh「グルーヴコースター」,STD 3 | STD 7 | STD 12+ | STD 14+,180,X-VERSE-X,
1897,VARIETY,†渚の小悪魔ラヴリィ～レイディオ†,夏色ビキニのPrim,STD 3 | STD 7 | STD 10 | STD 14,190,X-VERSE-X,
1896,ゲキマイ,μ3,水野健治 VS 穴山大輔,STD 5 | STD 11+ | STD 14 | STD 15+,192,X-VERSE-X,
1895,ゲキマイ,PANDORA PARADOXXX,削除,STD 6 | STD 11+ | STD 14+ | STD 15+,150,X-VERSE-X,
1894,ORIGINAL,月葬,黒魔 × rintaro soma,STD 5 | STD 9 | STD 14 | STD 15+,190,X-VERSE-X,
1893,ORIGINAL,薄明のクオリア,polysha feat. 高城みよ,STD 3 | STD 7+ | STD 11 | STD 14,185,X-VERSE-X,
1892,ORIGINAL,EFX,Avans,STD 2 | STD 6 | STD 11+ | STD 13+,128,X-VERSE-X,
1891,ORIGINAL,Beenden,隣の庭は青い(庭師+Aoi),STD 4 | STD 8 | STD 13+ | STD 15,202,X-VERSE-X,
1890,VARIETY,バンバード ～Piano Version～,mozell,STD 2 | STD 6 | STD 11 | STD 14,144,X-VERSE-X,
1889,VARIETY,New Starlight,DiGiTAL WiNG,STD 3 | STD 6 | STD 10 | STD 13+,155,X-VERSE-X,
1888,VARIETY,God only knows,A-One,STD 3 | STD 6 | STD 9+ | STD 14,170,X-VERSE-X,
1887,VARIETY,無双の咆哮 Warcry Overload,永田泰之,STD 3 | STD 7+ | STD 12 | STD 14,185,X-VERSE-X,
1886,WORLD'S END,Kaleidoscope,Lycoris in the parterre,WE 【狂】☆☆☆,,X-VERSE-X,
1885,WORLD'S END,Nyan Cat,daniwellP feat. 桃音モモ,WE 【歌】☆☆,,X-VERSE-X,
1884,WORLD'S END,イガク,原口沙輔 feat.重音テト,WE 【光】☆☆,,X-VERSE-X,
1883,WORLD'S END,九龍メタルゾネス,桔梗 小夜曲(CV:原田 彩楓),WE 【嘘】☆☆☆☆,,X-VERSE-X,
1882,POPS & ANIME,僕達のギャグマンガ日和,うえだゆうじ,STD 2 | STD 5 | STD 10+ | STD 13+,112,X-VERSE-X,
1881,niconico,ふぁんぶる！,藤原ハガネ,STD 3 | STD 7+ | STD 11 | STD 14,202,X-VERSE-X,
1880,niconico,ウルトラトレーラー,マサラダ,STD 3 | STD 6 | STD 9+ | STD 13+,155,X-VERSE-X,
1879,ORIGINAL,Phantom Crisis,t+pazolite vs Yuta Imai,STD 6 | STD 11+ | STD 14 | STD 15+,235,X-VERSE-X,
1878,ORIGINAL,Fly Better!,ShiBa × U-Ruri,STD 3 | STD 6 | STD 9+ | STD 13+,131,X-VERSE-X,
1877,ORIGINAL,彩祭ワンダーワン！,Ponchi♪ feat.はぁち,STD 3 | STD 7 | STD 10 | STD 14,170,X-VERSE-X,
1876,ORIGINAL,パステル・シタイ！,もちうつね feat.桃寝ちのい,STD 3 | STD 6 | STD 10 | STD 13+,170,X-VERSE-X,
1875,イロドリミドリ,Future Refrain,萩原 七々瀬(CV:東城 日沙子),STD 2 | STD 5 | STD 10+ | STD 13+,120,X-VERSE-X,
1874,ORIGINAL,DOMiNUS_GRAiL,xi,STD 5 | STD 10 | STD 14 | STD 15,190,X-VERSE-X,
1873,ORIGINAL,Verse X,Yu_Asahina,STD 6 | STD 11+ | STD 14 | STD 15+,205,X-VERSE-X,
1872,ゲキマイ,THE TRiANGLE,Yuta Imai,STD 5 | STD 8 | STD 13 | STD 15,230,X-VERSE-X,
1871,POPS & ANIME,Colorful Starting Line,涼宮ハルヒ(CV.平野綾),STD 3 | STD 5 | STD 9 | STD 13,162,X-VERSE-X,
1870,POPS & ANIME,Chasing destiny,涼宮ハルヒ(CV.平野綾),STD 3 | STD 6 | STD 10+ | STD 14,186,X-VERSE-X,
1869,POPS & ANIME,無敵的ハピネス！(SOS団5人Ver.),"涼宮ハルヒ(CV.平野綾),長門有希(CV.茅原実里),朝比奈みくる(CV.後藤邑子)、キョン(CV.杉田智和)、古泉一樹(CV.小野大輔)",STD 3 | STD 7 | STD 10+ | STD 13,185,X-VERSE-X,
1868,WORLD'S END,Fighting My Way,歌：花海咲季 (CV. 長月あおい) 作詞：HIROMI　作曲・編曲：Giga「学園アイドルマスター」,WE 【戻】☆☆,,X-VERSE-X,战斗我的路|战斗我的🦌|fmw
1867,WORLD'S END,volcanic,DETRO a.k.a ルゼ,WE 【避】☆☆☆☆,,X-VERSE-X,火山|猩猩|臀萌金曲|小猩猩
1866,WORLD'S END,J219,Cranky,WE 【狂】☆,,X-VERSE-X,
1865,niconico,LEMON MELON COOKIE,TAK,STD 3 | STD 6 | STD 10 | STD 12+,180,X-VERSE-X,
1864,niconico,M@GICAL☆CURE! LOVE ♥ SHOT!,SAWTOWNE,STD 3 | STD 6 | STD 10 | STD 13,192,X-VERSE-X,
1863,POPS & ANIME,Behavior,花鋏キョウ,STD 2 | STD 5 | STD 9 | STD 12+,116,X-VERSE-X,
1862,POPS & ANIME,はっぴーでいず！,獅子神レオナ,STD 2 | STD 6 | STD 9+ | STD 13,226,X-VERSE-X,
1861,POPS & ANIME,もっと！,花鋏キョウ、獅子神レオナ、水瓶ミア、夢川かなう,STD 3 | STD 5 | STD 9+ | STD 13,184,X-VERSE-X,
1860,ORIGINAL,Sweet & Sour,Sakuzyo or Sobrem,STD 5 | STD 10 | STD 14 | STD 15+,170,X-VERSE-X,
1859,イロドリミドリ,ソレイユ,芒崎 奏(CV:立花 理香),STD 3 | STD 6 | STD 12 | STD 14,145,X-VERSE-X,
1858,ORIGINAL,そして春めくモノローグ,Qutabire feat.柚子花,STD 3 | STD 6 | STD 10 | STD 13+,192,X-VERSE-X,
1857,ORIGINAL,Aether Wind,OSTER project feat. 常盤ゆう,STD 3 | STD 6 | STD 10 | STD 13+,190,X-VERSE-X,
1856,ORIGINAL,天地のうた,駄菓子O型 feat.みょみょ,STD 2 | STD 5 | STD 10+ | STD 13+,86,X-VERSE-X,
1855,POPS & ANIME,Choose!!!,サイダーガール TVアニメ「悪役令嬢転生おじさん」,STD 2 | STD 5 | STD 9 | STD 12,130,X-VERSE-X,
1854,VARIETY,LAST PROPOZE,あとぅす feat.橘花音,STD 3 | STD 6 | STD 10 | STD 14,144,X-VERSE-X,
1853,VARIETY,ゼイタクするまで抱きしめて,kei_iwata / KeiuO,STD 3 | STD 6 | STD 10 | STD 14,145,X-VERSE-X,
1852,VARIETY,愛と煩悩と輪廻と常識の極彩世界,sound piercer feat.Ritsu,STD 4 | STD 7 | STD 12 | STD 15,274,X-VERSE-X,
1851,ORIGINAL,轆轤首,かねこちはる,STD 5 | STD 9 | STD 13+ | STD 15,218,X-VERSE-X,
1850,東方Project,メイドノココロハアヤツリドール,森羅万象,STD 2 | STD 5 | STD 9+ | STD 12+,128,X-VERSE-X,
1849,東方Project,New World,FELT,STD 3 | STD 6 | STD 10+ | STD 13,195,X-VERSE-X,
1848,東方Project,The Music of Violent Eating,Jerico,STD 5 | STD 8 | STD 13 | STD 15,145,X-VERSE-X,
1847,東方Project,アマノジャクリバース feat. ｙｔｒ,魂音泉,STD 3 | STD 6 | STD 10+ | STD 13+,160,X-VERSE-X,
1846,東方Project,A-Yah-YAh-YaH-YAH!,凋叶棕 feat. めらみぽっぷ,STD 3 | STD 6 | STD 9+ | STD 13+,150,X-VERSE-X,
1845,niconico,ヤババイナ,さたぱんP,STD 4 | STD 7 | STD 11+ | STD 14,200,X-VERSE-X,
1844,niconico,バカ通信,isonosuke,STD 4 | STD 7+ | STD 11 | STD 14,240,X-VERSE-X,
1843,niconico,㋰責任集合体,マサラダ,STD 2 | STD 5 | STD 9+ | STD 13,135,X-VERSE-X,
1842,POPS & ANIME,Edelied,Edel Note[セラス 柳田 リリエンフェルト(CV.三宅美羽)、桂城 泉(CV.進藤あまね)]「Link！Like！ラブライブ！」,STD 3 | STD 6 | STD 9 | STD 13+,173,X-VERSE-X,
1841,POPS & ANIME,アイドゥーミー！,蓮ノ空女学院スクールアイドルクラブ「Link！Like！ラブライブ！」,STD 3 | STD 5 | STD 9+ | STD 13+,185,X-VERSE-X,
1840,WORLD'S END,Teriqma,owl＊tree,WE 【割】☆☆☆,,X-VERSE-X,terqima|屎|粪便|大便
1839,WORLD'S END,Adverse Gaff,siromaru,WE 【撃】☆☆☆☆,,X-VERSE-X,小机械头|机械头2|机械头二
